"BLOCK"	"State"	"St_Block"	"Effort80"	"Occ80"	"CAWA_year80"	"X90year80"	"Effort00"	"Occ00"	"CAWA_year00"	"X90year00"	"Priors80"	"Priors00"	"pfor"	"ele"	"ele2"	"edge"	"edge_resid"	"lat"	"long"	"Block_I"	"dif80"	"dif00"	"acov"	"neigh"	"sites"	"cawa00"	"cawa80"
"4212"	"5797A"	"NY"	"NY_5797A"	11	1	1984	1984	6	1	2004	2004	0.125	0.625	0.594819	1885	3553225	0	-57353.7874912299	44.9487090557	-74.0171963493	57971	0	0	0.277162799715057	0.277162799715057	"5797"	1	1
"4027"	"5697A"	"NY"	"NY_5697A"	2	0	0	1984	23	0	0	0	0	0	0.490341	887	786769	0	-61413.2120290641	44.9497299394	-74.1439600493	56971	-1984	0	0.189225030792453	0.189225030792453	"5697"	NA	NA
"4213"	"5797B"	"NY"	"NY_5797B"	11	1	1984	1984	10	1	2004	2004	0.25	0.625	0.722963	2285	5221225	0	-52374.8359609917	44.9481451333	-73.9538212282	57972	0	0	0.266757241837483	0.266757241837483	"5797"	1	1
"3846"	"5597B"	"NY"	"NY_5597B"	12	0	0	0	7	0	0	2001	0	0	0.53408	691	477481	0	-59713.7617155021	44.9501875441	-74.2073447511	55972	0	-2001	0.058667118762686	0.058667118762686	"5597"	0	NA
"3845"	"5597A"	"NY"	"NY_5597A"	10	0	0	1983	11	0	0	2001	0	0	0.726046	145	21025	0	-52255.0480070671	44.9506095266	-74.2707273084	55971	-1983	-2001	0.0361045862679805	0.0361045862679805	"5597"	0	0
"3333"	"5297B"	"NY"	"NY_5297B"	7	0	0	0	12	0	0	2004	0	0	0.469369	4526	20484676	0	-62228.0654087943	44.9521930397	-74.5876308584	52972	0	-2004	0.153717151590418	0.153717151590418	"5297"	NA	NA
"2848"	"4997B"	"NY"	"NY_4997B"	35	0	0	0	14.5	0	0	2000	0	0	0.260866	4949	24492601	0	-70329.3134649596	44.9529332033	-74.9679582304	49972	0	-2000	0.256034166067367	0.256034166067367	"4997"	NA	NA
"2847"	"4997A"	"NY"	"NY_4997A"	14.5	0	0	1980	35.5	0	0	2003	0	0	0.039865	4997	24970009	9999.86	-68916.30315854	44.9529333501	-75.0313485871	49971	-1980	-2003	0.338335080398765	0.338335080398765	"4997"	NA	NA
"3671"	"5497B"	"NY"	"NY_5497B"	18	0	0	1984	11	0	0	0	0	0	0.768177	5137	26388769	0	-50618.0754845887	44.9509959201	-74.3341068696	54972	-1984	0	0.0269135098305714	0.0269135098305714	"5497"	NA	0
"5121"	"6297B"	"NY"	"NY_6297B"	1	0	0	1984	2.5	0	0	0	0	0	0.081657	2062	4251844	9999.97572	-67292.3865399281	44.9405812452	-73.3202170656	62972	-1984	0	0.0825540688624426	0.0825540688624426	"6297"	NA	NA
"4409"	"5897A"	"NY"	"NY_5897A"	32	0	0	0	21	1	2003	0	0	0.75	0.851451	2245	5040025	0	-47382.5185351486	44.947545583	-73.8904507887	58971	0	2003	0.36023826822276	0.36023826822276	"5897"	NA	NA
"3670"	"5497A"	"NY"	"NY_5497A"	13	0	0	0	30.5	0	0	0	0	0	0.498543	4902	24029604	0	-61094.5286693202	44.9513470782	-74.3974869172	54971	0	0	0.0285468729836529	0.0285468729836529	"5497"	NA	NA
"5120"	"6297A"	"NY"	"NY_6297A"	54.5	0	0	0	103	0	0	0	0	0	0.072274	2123	4507129	0	-77656.9326042925	44.9414948513	-73.3835654406	62971	0	0	0.201786407813056	0.201786407813056	"6297"	NA	NA
"3500"	"5397A"	"NY"	"NY_5397A"	16	0	0	0	11	0	0	2000	0	0	0.301957	4459	19882681	0	-68732.7494640777	44.9519449566	-74.5242495077	53971	0	-2000	0.0744746167536376	0.0744746167536376	"5397"	NA	NA
"4410"	"5897B"	"NY"	"NY_5897B"	63	0	0	0	16	0	0	0	0	0	0.547697	1854	3437316	0	-59184.6820630232	44.9469108841	-73.8270823923	58972	0	0	0.244174113662643	0.244174113662643	"5897"	NA	NA
"4995"	"6197B"	"NY"	"NY_6197B"	32.5	1	1981	0	36.5	0	0	0	0.125	0	0.456299	4454	19838116	0	-62735.8917330874	44.9423733324	-73.4469167888	61972	1981	0	0.184151315622599	0.184151315622599	"6197"	NA	NA
"3501"	"5397B"	"NY"	"NY_5397B"	12	0	0	0	12	0	0	2000	0	0	0.444199	4725	22325625	0	-63206.0293401223	44.9516630583	-74.46086806	53972	0	-2000	0.0351628837008821	0.0351628837008821	"5397"	NA	NA
"4994"	"6197A"	"NY"	"NY_6197A"	47	1	1980	0	12	1	2002	0	0	0.875	0.62052	4823	23261329	0	-56355.1919012791	44.9432168384	-73.5102711793	61971	1980	2002	0.287017584085096	0.287017584085096	"6197"	NA	NA
"4806"	"6097B"	"NY"	"NY_6097B"	5	0	0	1984	11	0	0	0	0	0	0.610548	5163	26656569	0	-56742.6474564322	44.9440254433	-73.5736285891	60972	-1984	0	0.386181361521184	0.386181361521184	"6097"	NA	0
"4607"	"5997A"	"NY"	"NY_5997A"	18	0	0	0	8.5	1	2004	2004	0	0.875	0.613358	1514	2292196	0	-56633.4667394266	44.9462412794	-73.7637159987	59971	0	0	0.304243598805279	0.304243598805279	"5997"	1	NA
"4805"	"6097A"	"NY"	"NY_6097A"	18	1	1984	0	22	0	0	0	0	0	0.597128	410	168100	0	-57264.0728024164	44.9447989871	-73.6369887135	60971	1984	0	0.215856114643058	0.215856114643058	"6097"	NA	NA
"4608"	"5997B"	"NY"	"NY_5997B"	22.5	0	0	1984	4.5	0	0	2004	0	0	0.632198	862	743044	0	-55901.4508289689	44.9455373904	-73.7003513452	59972	-1984	-2004	0.238591547988083	0.238591547988083	"5997"	0	0
"3169"	"5197C"	"NY"	"NY_5197C"	17	0	0	0	7	0	0	2003	0	0	0.62196	4722	22297284	0	-56299.2416406072	44.9077162006	-74.7779571242	51973	0	-2003	0.494383965361321	0.494383965361321	"5197"	0	NA
"3170"	"5197D"	"NY"	"NY_5197D"	6	1	1984	0	9	1	2003	2003	0.375	0.875	0.700392	4802	23059204	0	-53251.8174426765	44.9075751294	-74.714619401	51974	1984	0	0.395912744740087	0.395912744740087	"5197"	1	NA
"2694"	"4897C"	"NY"	"NY_4897C"	5	0	0	1985	3	0	0	2004	0	0	0.040193	5022	25220484	9999.87	-68903.548932498	44.9078226206	-75.1579984305	48973	-1985	-2004	0.371034697249272	0.371034697249272	"4897"	NA	NA
"3009"	"5097D"	"NY"	"NY_5097D"	34	1	1982	0	22	0	0	2001	0.125	0	0.560809	4723	22306729	0	-58675.2238561272	44.9078208652	-74.8412980075	50974	1982	-2001	0.350093605877812	0.350093605877812	"5097"	0	NA
"3334"	"5297C"	"NY"	"NY_5297C"	12	1	1982	0	11	1	2004	2004	0	0.875	0.644159	4845	23474025	0	-55436.7139762627	44.9073980316	-74.6512846157	52973	1982	0	0.26936394226891	0.26936394226891	"5297"	1	NA
"2695"	"4897D"	"NY"	"NY_4897D"	58	1	1982	0	15	0	0	0	0	0	0.362959	4991	24910081	5000.06	-61362.4965463633	44.9078913562	-75.0946598417	48974	1982	0	0.220923862858911	0.220923862858911	"4897"	NA	NA
"3008"	"5097C"	"NY"	"NY_5097C"	76	1	1982	0	103	0	0	0	0.125	0	0.456423	4825	23280625	0	-62731.073793974	44.9078903338	-74.904639334	50973	1982	0	0.275983103685338	0.275983103685338	"5097"	NA	NA
"3335"	"5297D"	"NY"	"NY_5297D"	10	0	0	1984	15	1	2004	2004	0	0.875	0.622288	4901	24019801	0	-56286.4974145653	44.9071858159	-74.5879504545	52974	-1984	0	0.233129456475742	0.233129456475742	"5297"	1	0
"2849"	"4997C"	"NY"	"NY_4997C"	28	1	1982	0	25	0	0	0	0	0	0.457974	4967	24671089	0	-62670.8107007086	44.9079249674	-75.0313210767	49973	1982	0	0.237680669022247	0.237680669022247	"4997"	NA	NA
"2850"	"4997D"	"NY"	"NY_4997D"	25	0	0	0	10.5	0	0	2000	0	0	0.585687	4914	24147396	0	-57708.6053943243	44.9079246769	-74.967980837	49974	0	-2000	0.329146205564357	0.329146205564357	"4997"	0	NA
"3847"	"5597C"	"NY"	"NY_5597C"	16	0	0	1983	12	0	0	2001	0	0	0.521851	803	644809	0	-60188.9115333889	44.9056039203	-74.271290455	55973	-1983	-2001	0.0897860442987967	0.0897860442987967	"5597"	0	0
"3848"	"5597D"	"NY"	"NY_5597D"	10	0	0	0	8	0	0	2001	0	0	0.349777	1390	1932100	0	-66874.7345575975	44.9051822009	-74.2079577559	55974	0	-2001	0.175755648110417	0.175755648110417	"5597"	NA	NA
"4029"	"5697C"	"NY"	"NY_5697C"	10	1	1983	1983	12	0	0	0	0	0	0.36956	1766	3118756	0	-66106.0789972693	44.9047249337	-74.1446234599	56973	0	0	0.133846185202395	0.133846185202395	"5697"	NA	NA
"3673"	"5497D"	"NY"	"NY_5497D"	17	0	0	1984	7	0	0	2000	0	0	0.650727	478	228484	0	-55181.5186206425	44.9059901387	-74.3346208571	54974	-1984	-2000	0.034514056764782	0.034514056764782	"5497"	0	0
"4030"	"5697D"	"NY"	"NY_5697D"	17	0	0	0	2	0	0	0	0	0	0.465897	2191	4800481	0	-62362.96770397	44.9042325485	-74.0812907471	56974	0	0	0.322355101165475	0.322355101165475	"5697"	NA	NA
"4214"	"5797C"	"NY"	"NY_5797C"	14	1	1983	1983	10.5	1	2004	2004	0	0.5	0.590113	2546	6482116	0	-57536.6360514536	44.9037049616	-74.0179604427	57973	0	0	0.333527491584865	0.333527491584865	"5797"	1	1
"3502"	"5397C"	"NY"	"NY_5397C"	19	0	0	1984	10	0	0	0	0	0	0.734712	5049	25492401	0	-51918.3362299956	44.90693858	-74.5246169874	53973	-1984	0	0.147560751261649	0.147560751261649	"5397"	NA	0
"3672"	"5497C"	"NY"	"NY_5497C"	18	0	0	1984	8	0	0	2000	0	0	0.719173	177	31329	0	-52522.0939387324	44.906341184	-74.3979518932	54973	-1984	-2000	0.0847489332168539	0.0847489332168539	"5497"	0	0
"4215"	"5797D"	"NY"	"NY_5797D"	3	0	0	0	7	1	2004	2004	0	0.625	0.591938	2714	7365796	0	-57465.7268669214	44.9031419116	-73.9546352759	57974	0	0	0.396318160370005	0.396318160370005	"5797"	1	NA
"3503"	"5397D"	"NY"	"NY_5397D"	13	0	0	1984	8	0	0	2000	0	0	0.717097	5184	26873856	0	-52602.7555645345	44.906657106	-74.4612840214	53974	-1984	-2000	0.0940598660380475	0.0940598660380475	"5397"	0	0
"4411"	"5897C"	"NY"	"NY_5897C"	37	0	0	0	19	0	0	0	0	0	0.720142	2357	5555449	0	-52484.4440758219	44.9025435188	-73.8913145706	58973	0	0	0.389699727454919	0.389699727454919	"5897"	NA	NA
"5122"	"6297C"	"NY"	"NY_6297C"	38.5	0	0	0	92.9	0	0	0	0	0	0.0855	2195	4818025	4999.98	-72143.06500176	44.8965027157	-73.384826338	62973	0	0	0.147380867117701	0.147380867117701	"6297"	NA	NA
"4997"	"6197D"	"NY"	"NY_6197D"	30	0	0	1981	22.5	1	2004	0	0	0.875	0.50673	3882	15069924	0	-60776.4281247917	44.8973798297	-73.448128104	61974	-1981	2004	0.195121287114479	0.195121287114479	"6197"	NA	0
"4412"	"5897D"	"NY"	"NY_5897D"	81	0	0	1983	24	0	0	0	0	0	0.54944	1918	3678724	0	-59116.9589350016	44.9019100322	-73.8279959025	58974	-1983	0	0.310899586362813	0.310899586362813	"5897"	NA	0
"4996"	"6197C"	"NY"	"NY_6197C"	24	0	0	1982	40	1	2001	0	0	0.625	0.733981	5069	25694761	0	-51946.7387581562	44.8982220234	-73.511432907	61973	-1982	2001	0.250729661614274	0.250729661614274	"6197"	NA	0
"4808"	"6097D"	"NY"	"NY_6097D"	3	0	0	1984	15.5	0	0	0	0	0	0.754847	486	236196	0	-51136.0039392809	44.8990293646	-73.5747407179	60974	-1984	0	0.248398350177856	0.248398350177856	"6097"	NA	0
"4609"	"5997C"	"NY"	"NY_5997C"	2	0	0	0	14	1	2004	0	0	0.75	0.57664	1576	2483776	0	-58060.1206778652	44.9012416531	-73.7646792284	59973	0	2004	0.259258410289119	0.259258410289119	"5997"	NA	NA
"4807"	"6097C"	"NY"	"NY_6097C"	7	0	0	1984	19.5	0	0	2004	0	0	0.790245	880	774400	0	-49760.6377397915	44.8998016932	-73.6380512297	60973	-1984	-2004	0.279439796231898	0.279439796231898	"6097"	0	0
"4610"	"5997D"	"NY"	"NY_5997D"	5	0	0	0	7.5	0	0	2004	0	0	0.8181	1260	1587600	0	-48678.349884919	44.900538936	-73.7013642417	59974	0	-2004	0.214634684260831	0.214634684260831	"5997"	0	NA
"2549"	"4796A"	"NY"	"NY_4796A"	2	0	0	1985	1	0	0	2004	0	0	0.034687	5046	25462116	10000	-69117.3509708728	44.8625708186	-75.2844505031	47961	-1985	-2004	0.0690257846908106	0.0690257846908106	"4796"	NA	NA
"2550"	"4796B"	"NY"	"NY_4796B"	6.5	0	0	1983	4	0	0	2004	0	0	0.249595	5066	25664356	5000.06	-65767.1808177605	44.8627101457	-75.2211612143	47962	-1983	-2004	0.153993132298067	0.153993132298067	"4796"	NA	NA
"2690"	"4896A"	"NY"	"NY_4896A"	26.5	1	1982	0	14.5	0	0	0	0	0	0.613743	5067	25674489	0	-56618.5078155664	44.8628139239	-75.1578722468	48961	1982	0	0.173763869042806	0.173763869042806	"4896"	NA	NA
"3163"	"5196A"	"NY"	"NY_5196A"	72.5	1	1982	0	10	0	0	2004	0.125	0	0.809945	5047	25472209	0	-48995.2070903214	44.8627066321	-74.7781314893	51961	1982	-2004	0.525798187394681	0.525798187394681	"5196"	0	NA
"3164"	"5196B"	"NY"	"NY_5196B"	47.5	1	1982	0	21	0	0	0	0	0	0.854146	5096	25969216	0	-47277.8060681272	44.8625658924	-74.7148428538	51962	1982	0	0.495875676195988	0.495875676195988	"5196"	NA	NA
"2691"	"4896B"	"NY"	"NY_4896B"	25	0	0	0	12.5	0	0	0	0	0	0.661162	5072	25725184	0	-54776.0735025095	44.862882609	-75.0945830234	48962	0	0	0.311261254431062	0.311261254431062	"4896"	NA	NA
"3003"	"5096B"	"NY"	"NY_5096B"	25	1	1981	0	3.5	0	0	2004	0	0	0.78897	5057	25573249	0	-49810.1770330948	44.8628114519	-74.8414218218	50962	1981	-2004	0.425360451278053	0.425360451278053	"5096"	0	NA
"3328"	"5296A"	"NY"	"NY_5296A"	30	0	0	0	21	0	0	0	0	0	0.890448	5141	26429881	0	-45867.3155383271	44.8623895902	-74.6515557722	52961	0	0	0.425672847259765	0.425672847259765	"5296"	NA	NA
"3002"	"5096A"	"NY"	"NY_5096A"	17	0	0	0	9	0	0	2004	0	0	0.740686	4963	24631369	0	-51686.2203569025	44.8628811566	-74.9047125152	50961	0	-2004	0.410209693372204	0.410209693372204	"5096"	0	NA
"2843"	"4996A"	"NY"	"NY_4996A"	14.5	0	0	0	15.5	0	0	2002	0	0	0.657554	5068	25684624	0	-54916.2599889708	44.8629162245	-75.0312936242	49961	0	-2002	0.311118860817556	0.311118860817556	"4996"	0	NA
"3329"	"5296B"	"NY"	"NY_5296B"	21	0	0	1984	11	0	0	2002	0	0	0.714177	5259	27657081	0	-52716.2102597859	44.8621782249	-74.5882693128	52962	-1984	-2002	0.280839510782912	0.280839510782912	"5296"	0	0
"2844"	"4996B"	"NY"	"NY_4996B"	15	0	0	0	7	0	0	2003	0	0	0.761917	4950	24502500	0	-50861.3037011208	44.8629157905	-74.9680033845	49962	0	-2003	0.312034653348972	0.312034653348972	"4996"	0	NA
"3496"	"5396A"	"NY"	"NY_5396A"	9	1	1983	0	7	0	0	2001	0	0	0.709294	5327	28376929	0	-52905.9360395504	44.8619318406	-74.5249836083	53961	1983	-2001	0.104349199554425	0.104349199554425	"5396"	0	NA
"3841"	"5596A"	"NY"	"NY_5596A"	8	0	0	0	10.5	0	0	2002	0	0	0.368762	1430	2044900	0	-66137.084766725	44.8605979555	-74.2718522616	55961	0	-2002	0.184587242322364	0.184587242322364	"5596"	NA	NA
"3842"	"5596B"	"NY"	"NY_5596B"	16	0	0	1984	9	0	0	0	0	0	0.574045	1982	3928324	0	-58160.9477101178	44.8601764981	-74.2085692913	55962	-1984	0	0.216881289368499	0.216881289368499	"5596"	NA	0
"3667"	"5496B"	"NY"	"NY_5496B"	14.5	0	0	0	15	0	0	2002	0	0	0.249046	1256	1577536	0	-70788.5718546416	44.8609839996	-74.3351336333	54962	0	-2002	0.143998637637975	0.143998637637975	"5496"	NA	NA
"3666"	"5496A"	"NY"	"NY_5496A"	4	0	0	0	8	0	0	2002	0	0	0.308783	799	638401	0	-68467.5296867537	44.8613349321	-74.3984157732	54961	0	-2002	0.115184237105065	0.115184237105065	"5496"	NA	NA
"3497"	"5396B"	"NY"	"NY_5396B"	7	0	0	0	6	0	0	2001	0	0	0.608715	356	126736	0	-56813.8674757458	44.8616507963	-74.461699002	53962	0	-2001	0.125010706867533	0.125010706867533	"5396"	0	NA
"4023"	"5696A"	"NY"	"NY_5696A"	21.5	0	0	0	24.3	0	0	0	0	0	0.668198	2417	5841889	0	-54502.6943121708	44.859719568	-74.1452852836	56961	0	0	0.320428415260047	0.320428415260047	"5696"	NA	NA
"4024"	"5696B"	"NY"	"NY_5696B"	43	0	0	0	19.5	1	2005	0	0	1	0.707254	2903	8427409	0	-52985.1989088357	44.8592275745	-74.0820028546	56962	0	2005	0.374097130739031	0.374097130739031	"5696"	NA	NA
"4208"	"5796A"	"NY"	"NY_5796A"	1	0	0	0	16.5	0	0	0	0	0	0.472008	3144	9884736	0	-62125.5287852435	44.8587004986	-74.0187227225	57961	0	0	0.45147176022022	0.45147176022022	"5796"	NA	NA
"4209"	"5796B"	"NY"	"NY_5796B"	NA	0	0	1983	12	0	0	2004	0	0	0.473041	3649	13315201	0	-62085.3922440809	44.8581383124	-73.9554474012	57962	-1983	-2004	0.438263821072829	0.438263821072829	"5796"	NA	NA
"5118"	"6296A"	"NY"	"NY_6296A"	NA	0	0	0	40.2	0	0	0	0	0	0.158593	2124	4511376	4999.977	-69303.0871661399	44.8515101926	-73.3860842705	62961	0	0	0.0812354432038801	0.0812354432038801	"6296"	NA	NA
"4405"	"5896A"	"NY"	"NY_5896A"	NA	1	1984	0	12	0	0	2004	0.125	0	0.513009	2660	7075600	0	-60532.4616756535	44.8575410753	-73.8921763138	58961	1984	-2004	0.371340361155784	0.371340361155784	"5896"	0	NA
"4991"	"6196B"	"NY"	"NY_6196B"	28	0	0	0	44.3	0	0	0	0	0	0.450767	4302	18507204	0	-62950.833984502	44.8523859415	-73.4493365704	61962	0	0	0.0743553213919174	0.0743553213919174	"6196"	NA	NA
"4406"	"5896B"	"NY"	"NY_5896B"	NA	1	1983	0	17	1	2004	2004	0	0.625	0.808368	2790	7784100	0	-49056.4803966267	44.8569087991	-73.8289072577	58962	1983	0	0.292090394667449	0.292090394667449	"5896"	1	NA
"4990"	"6196A"	"NY"	"NY_6196A"	28	0	0	1983	115.2	1	2004	0	0	0.875	0.739148	113	12769	0	-51745.9783436479	44.8532268246	-73.5125919017	61961	-1983	2004	0.147311014215635	0.147311014215635	"6196"	NA	0
